latin	name	Type	blood	blood_reference	sputum	sputum_reference	CSF	CSF_reference	urine	urine_reference
Mycobacterium_marinum	海分枝杆菌	bacteria	在水中可通过受损的皮肤黏膜引起鼻粘膜、手指及脚趾等感染，呈结节或溃疡病变。	Huminer D, Pitlik SD, Block C, et al. Aquarium-borne Mycobacterium marinum skin infection. Report of a case and review of the literature. Arch Dermatol. 1986 Jun; 122(6): 698-703.	none	none	none	none	none	none
Mycobacterium_scrofulaceum	瘰疬分枝杆菌	bacteria	常引起儿童颈部的淋巴结炎。	Majewska-Zalewska H, Herman T, Obrapalska E. Peripheral lymphadenitis caused by Mycobacterium scrofulaceum in a 2-year-old child. Pediatr Pol. 1977 May;52(5):547-53.	none	none	none	none	none	none
Mycobacterium_avium-intracellulare	鸟胞内分枝杆菌	bacteria	可引起结核样病变，多见于肺和肾，是艾滋病患者常见的机会致病菌，且易发生散播。	Gonzales Zamora JA, Milikowski C. Proctitis Caused by Mycobacterium avium-intracellulare in an HIV-Infected Patient. Diseases. 2018 May 8; 6(2). pii: E36.	none	none	none	none	none	none
Mycobacterium_fortuitum	偶发分枝杆菌	bacteria	可引起皮肤创伤后脓肿、骨髓炎、关节感染等。	Neill BC, Bahr NC, Bryan Z, et al. Cutaneous infection with Mycobacterium fortuitum after subcutaneous injection of human chorionic gonadotropin. Dermatol Online J. 2017 Aug 15;23(8). pii: 13030/qt9rc0w1ht.	none	none	none	none	none	none
Mycobacterium_chelonei	龟分枝杆菌	bacteria	可引起皮肤脓肿、角膜炎等。	Campbell SM, Winkelmann RR, Sammons DL. Erythema Induratum Caused by Mycobacterium chelonei in an Immunocompetent Patient. J Clin Aesthet Dermatol. 2013 May; 6(5): 38-40.	none	none	none	none	none	none
Mycobacterium_bovis	牛分枝杆菌	bacteria	可通过食用被感染的生牛奶传染给人，引起结核病。	O'Reilly LM, Daborn CJ. The epidemiology of Mycobacterium bovis infections in animals and man: a review. Tuber Lung Dis. 1995 Aug; 76 Suppl 1: 1-46.	none	none	none	none	none	none
Mycobacterium_africanum	非洲分枝杆菌	bacteria	最常见于西非国家，可导致肺结核。	de Jong BC, Antonio M, Gagneux S. Mycobacterium africanum--review of an important cause of human tuberculosis in West Africa. PLoS Negl Trop Dis. 2010 Sep 28; 4(9): e744.	none	none	none	none	none	none
Mycobacterium_micoti	田鼠分枝杆菌	bacteria	田鼠分枝杆菌极少引起人类感染，偶在免疫缺陷患者中引起感染。	van Soolingen D, van der Zanden AG, de Haas PE, et al. Diagnosis of Mycobacterium microti infections among humans by using novel genetic markers. J Clin Microbiol. 1998 Jul; 36(7): 1840-5.	none	none	none	none	none	none
Mycobacterium_paratuberculosis	副结核分枝杆菌	bacteria	主要引起反刍动物的慢性消化道疾病，也有研究发现该菌可能与人克罗恩病和类风湿性关节炎有关。	Sanderson JD, Moss MT, Tizard ML, et al. Mycobacterium paratuberculosis DNA in Crohn's disease tissue. Gut. 1992 Jul; 33(7): 890-6.	none	none	none	none	none	none
Mycobacterium_simiae	猿分枝杆菌	bacteria	可引起肺部感染。	Nasiri MJ, Heidary M, Azimi T, et al. Mycobacterium simiae pulmonary disease in Iran: systematic review and meta-analysis. New Microbes New Infect. 2018 Sep 22; 26: 118-123.	none	none	none	none	none	none
Mycobacterium_szulgai	苏尔加分枝杆菌	bacteria	可引起皮肤感染。	Hizawa K, Nagata Y, Kudo T, et al. A case of steroid-dependent ulcerative colitis complicated by skin infection of Mycobacterium szulgai. Nihon Shokakibyo Gakkai Zasshi. 2009 Sep; 106(9): 1359-63.	none	none	none	none	none	none
Mycobacterium_avium	鸟分枝杆菌	bacteria	属于鸟分枝杆菌复合体（由胞内分枝杆菌、鸟类分枝杆菌和嵌合分枝杆菌组成）中的一种，可引起慢性肺部疾病和淋巴结炎，且易在免疫缺陷患者中发生播散性疾病。	Acharya N, Chattopadhyay A, Sharma K, et al. Splenic granulomas: a rare manifestation of Mycobacterium avium complex in an immunocompetent host. BMJ Case Rep. 2018 Nov 8; 2018. pii: bcr-2018-225788.	none	none	none	none	none	none
Mycobacterium_intracellulare	胞内分枝杆菌	bacteria	属于鸟分枝杆菌复合体（由胞内分枝杆菌、鸟类分枝杆菌和嵌合分枝杆菌组成）中的一种，可引起慢性肺部疾病和淋巴结炎，且易在免疫缺陷患者中发生播散性疾病。	Acharya N, Chattopadhyay A, Sharma K, et al. Splenic granulomas: a rare manifestation of Mycobacterium avium complex in an immunocompetent host. BMJ Case Rep. 2018 Nov 8; 2018. pii: bcr-2018-225788.	none	none	none	none	none	none
Mycobacterium_xenopi	蟾蜍分枝杆菌	bacteria	致病性较低，主要在免疫缺陷个体中引起肺部感染、骨髓炎等。	Abdulfattah O, Salhan D, Kandel S, et al. Fatal pulmonary cavitary disease secondary to Mycobacterium xenopi in a patient with sarcoidosis. J Community Hosp Intern Med Perspect. 2017 Dec 14; 7(6): 372-377.	none	none	none	none	none	none
Mycobacterium_malmoense	马尔摩分枝杆菌	bacteria	通常引起儿童颈部淋巴结炎或成人慢性肺部疾病，很少引起肺外疾病和播散性感染。	Lapierre SG, Fellag M, Magan C, et al. Mycobacterium malmoense pulmonary infection in France: a case report. BMC Res Notes. 2017 Aug 31; 10(1): 436.	none	none	none	none	none	none
Mycobacterium_haemophilum	嗜血分枝杆菌	bacteria	通常发生在免疫系统受抑制的患者，表现为皮下结节或囊肿，常累及四肢，导致脓肿、骨髓炎等；儿童主要以小儿颈部淋巴结病常见。	Takeyari S, Hashii Y, Yoshida H, et al. Mycobacterium haemophilum osteomyelitis in the immunocompromised host. Pediatr Int. 2017 Dec; 59(12): 1279-1281.	none	none	none	none	none	none
Mycobacterium_gordonae	戈登分枝杆菌	bacteria	极少引起疾病，偶可感染免疫缺陷患者。	Freyne B, Curtis N. Mycobacterium gordonae Skin Infection in an Immunocompetent Child. Pediatr Infect Dis J. 2017 May; 36(5): 523-525.	none	none	none	none	none	none
Mycobacterium_triviale	次要分枝杆菌	bacteria	none	none	none	none	none	none	none	none
Mycobacterium_smegmatis	耻垢分枝杆菌	bacteria	none	none	none	none	none	none	none	none
Mycobacterium_lepraemurium	鼠麻风分枝杆菌	bacteria	none	none	none	none	none	none	none	none
Mycobacterium_iranicum	分枝杆菌	bacteria	为非结核分枝杆菌，有报道可在艾滋病患者中引起肺部感染。	Hashemi-Shahraki_A,_Heidarieh_P,_Azarpira_S,_et_al._Mycobacterium_iranicum_infection_in_HIV-infected_patient,_Iran._Emerg_Infect_Dis._2013_Oct;_19(10):_1696-7._	none	none	none	none	none	none
Escherichia_coli	大肠埃希菌	bacteria	是肠道正常菌群，多数情况下不致病，但当机体免疫力下降或侵入肠外组织或器官时，可引起肠道外感染。主要有泌尿系统感染，还可引起腹膜炎、胆道感染、肺炎、手术伤口感染等，严重者可引起败血症。而且其中的致病菌株可引起肠道内感染，导致各种类型的腹泻。	Viljanen MK, Peltola T, Junnila SY, et al. Outbreak of diarrhoea due to Escherichia coli O111:B4 in schoolchildren and adults: association of Vi antigen-like reactivity. Lancet. 1990 Oct 6; 336(8719): 831-4.	none	none	none	none	none	none
Escherichia_vulneris	伤口埃希菌	bacteria	可在呼吸道，生殖道和泌尿道中定殖，通常与伤口感染有关，也有败血症、腹膜炎、脑膜炎、脓毒性关节炎等病例的报道。	Jain S, Nagarjuna D, Gaind R, et al. Escherichia vulneris: an unusual cause of complicated diarrhoea and sepsis in an infant. A case report and review of literature. New Microbes New Infect. 2016 Jul 9; 13: 83-6.	none	none	none	none	none	none
Escherichia_fergusonii	弗格森埃希菌	bacteria	某些菌株具有致病性，可引起开放性伤口感染、菌血症和尿路感染等。	Savini V, Catavitello C, Talia M, et al. Multidrug-resistant Escherichia fergusonii: a case of acute cystitis. J Clin Microbiol. 2008 Apr; 46(4): 1551-2.	none	none	none	none	none	none
Escherichia_hermannii	赫尔曼埃希菌	bacteria	可引起菌血症、脑膜炎和伤口感染。	Rank CU, Lommer Kristensen P, Schrøder Hansen, et al. Catheter Related Escherichia hermannii Sepsis in a Haemodialysis Patient. Open Microbiol J. 2016 Feb 2; 10: 1-3.	none	none	none	none	none	none
Escherichia_blattae	蟑螂埃希菌	bacteria	none	none	none	none	none	none	none	none
Escherichia_adecarboxylate	不脱胺埃希菌	bacteria	none	none	none	none	none	none	none	none
Escherichia_agglomerans	凝集埃希菌	bacteria	none	none	none	none	none	none	none	none
Enterobacter_cloacae	阴沟肠杆菌	bacteria	是肠道正常菌群，一般引起肠道外感染，如泌尿道、呼吸道、伤口感染，还可引起菌血症和脑膜炎。	Karasahin O, Yildiz Z, Unal O, et al. A rare cause of healthcare-associated infective endocarditis: Enterobacter cloacae. IDCases. 2018 Mar 6; 12: 18-20.	none	none	none	none	none	none
Enterobacter_aerogenes	产气肠杆菌	bacteria	机会致病菌，是肠道正常菌群，通常引起院内感染，如尿路感染和大多数类型的感染、败血症等。	Jha P, Kim CM, Kim DM, et al. Transmission of Enterobacter aerogenes septicemia in healthcare workers. Springerplus. 2016 Aug 23; 5(1): 1397.	none	none	none	none	none	none
Enterobacter_gergoviae	日沟维肠杆菌	bacteria	能引起泌尿道、呼吸道和血液感染。	Ganeswire R, Thong KL, Puthucheary SD. Nosocomial outbreak of Enterobacter gergoviae bacteraemia in a neonatal intensive care unit. J Hosp Infect. 2003 Apr; 53(4): 292-6.	none	none	none	none	none	none
Enterobacter_sakazakii	坂崎肠杆菌	bacteria	能引起新生儿败血症、脑膜炎和坏死性小肠结肠炎，病死率较高，婴儿配方奶粉是目前主要的感染渠道。	Hunter CJ, Petrosyan M, Ford HR, et al. Enterobacter sakazakii: an emerging pathogen in infants and neonates. Surg Infect (Larchmt). 2008 Oct; 9(5): 533-9.	none	none	none	none	none	none
Enterobacter_intermedium	中间肠杆菌	bacteria	none	none	none	none	none	none	none	none
Enterobacter_amnigenus	河生肠杆菌	bacteria	none	none	none	none	none	none	none	none
Enterobacter_asburiae	阿氏肠杆菌	bacteria	none	none	none	none	none	none	none	none
Enterobacter_hornaechei	霍氏肠杆菌	bacteria	none	none	none	none	none	none	none	none
Enterobacter_dissolvens	溶解肠杆菌	bacteria	none	none	none	none	none	none	none	none
Enterobacter_nimipressualis	超压肠杆菌	bacteria	none	none	none	none	none	none	none	none
Enterobacter_kobei	神户肠杆菌	bacteria	none	none	none	none	none	none	none	none
Enterobacter_cowanni	考氏肠杆菌	bacteria	none	none	none	none	none	none	none	none
Enterobacter_pyrinus	梨形肠杆菌	bacteria	none	none	none	none	none	none	none	none
Bacteroides_fragilis	脆弱拟杆菌	bacteria	机会致病菌，是肠道的正常菌群，可引起菌血症、腹膜炎和脓肿等。	Nolla JM, Murillo O, Narvaez J, et al. Pyogenic arthritis of native joints due to Bacteroides fragilis: Case report and review of the literature. Medicine (Baltimore). 2016 Jun; 95(25): e3962.	none	none	none	none	none	none
Bacteroides_thetaiotaomicron	多形拟杆菌	bacteria	机会致病菌，是肠道的共生菌群，可引起腹膜炎。	Chao CM, Liu WL, Lai CC. Peritoneal dialysis peritonitis caused by Bacteroides thetaiotaomicron. Perit Dial Int. 2013 Nov-Dec; 33(6): 711-2.	none	none	none	none	none	none
Bacteroides_stercoris	粪便拟杆菌	bacteria	none	none	none	none	none	none	none	none
Bacteroides_caccae	粪拟杆菌	bacteria	none	none	none	none	none	none	none	none
Bacteroides_merdae	屎拟杆菌	bacteria	none	none	none	none	none	none	none	none
Bacteroides_vulgatus	普通拟杆菌	bacteria	none	none	none	none	none	none	none	none
Bacteroides_distasonis	吉氏拟杆菌	bacteria	none	none	none	none	none	none	none	none
Bacteroides_eggerthii	埃氏拟杆菌	bacteria	none	none	none	none	none	none	none	none
Bacteroides_ovatus	卵形拟杆菌	bacteria	none	none	none	none	none	none	none	none
Bacteroides_uniformis	单形拟杆菌	bacteria	none	none	none	none	none	none	none	none
Veillonella_parvula	小韦荣球菌	bacteria	机会致病菌，是口腔、肠道、呼吸道的正常菌群，常见于上呼吸道感染，还可引起败血症、脓肿等。	Chen YC, Ko PH, Yang CJ, et al. Epidural abscess caused by Veillonella parvula: Case report and review of the literature. J Microbiol Immunol Infect. 2016 Oct; 49(5): 804-808.	none	none	none	none	none	none
Veillonella_atypica	非典型韦荣球菌	bacteria	none	none	none	none	none	none	none	none
Veillonella_diapar	殊异韦容球菌	bacteria	none	none	none	none	none	none	none	none
Aeromonas_hydrophila	嗜水气单胞菌	bacteria	机会致病菌，可引起腹泻、皮肤和软组织感染，主要与进食被污染的食物或伤口接触有关，还可引起败血症、脑膜炎、肺炎、胸膜炎和尿道感染等。	Kali A, Kalaivani R, Charles P, et al. Aeromonas hydrophila meningitis and fulminant sepsis in preterm newborn: A case report and review of literature. Indian J Med Microbiol. 2016 Oct-Dec; 34(4): 544-547.	none	none	none	none	none	none
Aeromonas_caviae	豚鼠气单胞菌	bacteria	可引起菌血症、腹膜炎。	Kumar S, Mukhopadhyay P, Chatterjee M, et al. Necrotizing fasciitis caused by Aeromonas caviae. Avicenna J Med. 2012 Oct; 2(4): 94-6.	none	none	none	none	none	none
Aeromonas_jandaei	简达气单胞菌	bacteria	简达气单胞菌有引起菌血症的报道。	Sarma PS. Aeromonas jandaei cellulitis and bacteremia in a man with diabetes. Am J Med. 2002 Mar; 112(4): 325.	none	none	none	none	none	none
Aeromonas_veronii	维隆气单胞菌	bacteria	在免疫缺陷患者中可引起伤口感染、腹泻、败血症等多种疾病。	Wang D, Sun F, Li Z, et al. Acute septic arthritis of shoulder joint caused by Aeromonas veronii biotype sobria. Orthopade. 2018 Jun 5.	none	none	none	none	none	none
Aeromonas_schubertii	舒伯特气单胞菌	bacteria	none	none	none	none	none	none	none	none
Aeromonas_trota	易损气单胞菌	bacteria	none	none	none	none	none	none	none	none
Enterococcus_faecalis	粪肠球菌	bacteria	是肠道中的正常菌群，属于院内感染病原菌，较多发生在老年和免疫低下患者中，主要引起尿路、腹腔、盆腔和伤口感染，还可引起菌血症、心内膜炎，偶尔会感染呼吸道和中枢神经系统。	Tien BYQ, Goh HMS, Chong KKL, et al. Enterococcus faecalis Promotes Innate Immune Suppression and Polymicrobial Catheter-Associated Urinary Tract Infection. Infect Immun. 2017 Nov 17; 85(12). pii: e00378-17.	none	none	none	none	none	none
Enterococcus_faecium	屎肠球菌	bacteria	是肠道中的正常菌群，有报道可引起新生儿脑膜炎或心内膜炎等疾病。	Knoll BM, Hellmann M, Kotton CN. Vancomycin-resistant Enterococcus faecium meningitis in adults: case series and review of the literature. Scand J Infect Dis. 2013 Feb; 45(2): 131-9.	none	none	none	none	none	none
Enterococcus_casselifavus	铅黄肠球菌	bacteria	undetermined	undetermined	none	none	none	none	none	none
Enterococcus_raffinosus	棉子糖肠球菌	bacteria	undetermined	undetermined	none	none	none	none	none	none
Enterococcus_avium	鸟肠球菌	bacteria	undetermined	undetermined	none	none	none	none	none	none
Enterococcus_cecorum	盲肠肠球菌	bacteria	undetermined	undetermined	none	none	none	none	none	none
Enterococcus_dispar	殊异肠球菌	bacteria	undetermined	undetermined	none	none	none	none	none	none
Enterococcus_durans	耐久肠球菌	bacteria	undetermined	undetermined	none	none	none	none	none	none
Enterococcus_gallinarum	鹑鸡肠球菌	bacteria	undetermined	undetermined	none	none	none	none	none	none
Enterococcus_hirae	空肠肠球菌	bacteria	undetermined	undetermined	none	none	none	none	none	none
Enterococcus_mundtii	蒙氏肠球菌	bacteria	undetermined	undetermined	none	none	none	none	none	none
Enterococcus_malodoratus	病臭肠球菌	bacteria	undetermined	undetermined	none	none	none	none	none	none
Yersinia_pestis	鼠疫耶尔森菌	bacteria	属于我国的甲类传染病，是鼠疫的病原菌，严重危害人类健康的烈性传染病之一。	undetermined	none	none	none	none	none	none
Yersinia_enterocolitica	小肠结肠炎耶尔森菌	bacteria	肠道致病菌之一，可引起小肠结肠炎、菌血症以及结节性红斑、反应性关节炎等自身免疫性疾病。	undetermined	none	none	none	none	none	none
Yersinia_pseudotuberculosis	假结核耶尔森菌	bacteria	主要对啮齿类动物致病，少见人感染，大多数病例为肠道感染，有时可引起肠系膜淋巴结炎。	undetermined	none	none	none	none	none	none
Yersinia_frederiksenii	弗氏耶尔森菌	bacteria	undetermined	undetermined	none	none	none	none	none	none
Yersinia_intermedia	中间耶尔森菌	bacteria	undetermined	undetermined	none	none	none	none	none	none
Yersinia_kristensenii	克氏耶尔森菌	bacteria	undetermined	undetermined	none	none	none	none	none	none
Yersinia_aldovae	阿氏耶尔森菌	bacteria	undetermined	undetermined	none	none	none	none	none	none
Yersinia_bercovieri	伯氏耶尔森菌	bacteria	undetermined	undetermined	none	none	none	none	none	none
Yersinia_mollaretii	莫氏耶尔森菌	bacteria	undetermined	undetermined	none	none	none	none	none	none
Yersinia_rohdei	罗氏耶尔森菌	bacteria	undetermined	undetermined	none	none	none	none	none	none
Yersinia_ruckeri	鲁氏耶尔森菌	bacteria	undetermined	undetermined	none	none	none	none	none	none
Serratia_marcescens	粘质沙雷菌	bacteria	属于院内感染相关的病原菌，特别是与导管相关的菌血症、尿路感染及伤口感染。	Hejazi A, Falkiner FR. Serratia marcescens. J Med Microbiol. 1997 Nov; 46(11): 903-12.	none	none	none	none	none	none
Serratia_liquefaciens	液化沙雷菌	bacteria	可引起引起泌尿道感染、伤口感染、心内膜炎、皮肤肉芽肿等。	undetermined	none	none	none	none	none	none
Serratia_rubidaea	深红沙雷菌	bacteria	undetermined	undetermined	none	none	none	none	none	none
Serratia_odorifera	芳香沙雷菌	bacteria	可引起败血症、脓毒症等。	undetermined	none	none	none	none	none	none
Serratia_ficaria	无花果沙雷菌	bacteria	undetermined	undetermined	none	none	none	none	none	none
Serratia_entomophila	虫媒沙雷菌	bacteria	undetermined	undetermined	none	none	none	none	none	none
Serratia_plymuthica	普利毛斯沙雷菌	bacteria	可引起导管相关感染。	undetermined	none	none	none	none	none	none
Serratia_fonticola	居泉沙雷菌	bacteria	可引起创伤后皮肤和软组织感染、血液感染、尿路感染等。	undetermined	none	none	none	none	none	none
Providencia_rettgeri	雷氏普罗威登斯菌	bacteria	机会致病菌，可引起腹泻、败血症、食物中毒、伤口感染、泌尿道感染和眼部感染等。	undetermined	none	none	none	none	none	none
Providencia_alcalifaciens	产碱普罗威登斯菌	bacteria	可引起食源性感染，导致急性胃肠炎、腹泻。	undetermined	none	none	none	none	none	none
Providencia_rustigianii	拉氏普罗威登斯菌	bacteria	undetermined	undetermined	none	none	none	none	none	none
Providencia_stuartii	斯氏普罗威登斯菌	bacteria	可引起泌尿道感染，并可能导致院内感染的爆发流行。	undetermined	none	none	none	none	none	none
Providencia_heimbachae	海氏普罗威登斯菌	bacteria	undetermined	undetermined	none	none	none	none	none	none
Vibrio_vulnificus	创伤弧菌	bacteria	可引起急性肠胃炎、伤口感染、蜂窝织炎和败血症等。	Oliver JD. Wound infections caused by Vibrio vulnificus and other marine bacteria. Epidemiol Infect. 2005 Jun; 133(3): 383-91.	none	none	none	none	none	none
Vibrio_cholerae	霍乱弧菌	bacteria	是引起烈性传染病霍乱的病原菌。	undetermined	none	none	none	none	none	none
Vibrio_mimicus	拟态弧菌	bacteria	可引起胃肠炎、败血症等。	undetermined	none	none	none	none	none	none
Vibrio_parahaemolyticus	副溶血性弧菌	bacteria	是我国沿海地区最常见的食物中毒病原菌，可引起食物中毒、急性肠炎、急性肝胰腺坏死、败血症等。	undetermined	none	none	none	none	none	none
Vibrio_flurialis	河弧菌	bacteria	胃肠炎、败血症	undetermined	none	none	none	none	none	none
Vibrio_furnissii	弗尼斯弧菌	bacteria	有引起肠胃炎的报道。	undetermined	none	none	none	none	none	none
Vibrio_hollisae	霍利斯弧菌	bacteria	有引起胃肠炎、败血症的报道。	undetermined	none	none	none	none	none	none
Vibrio_danmsela	少女弧菌	bacteria	有引起伤口感染、败血症的报道。	undetermined	none	none	none	none	none	none
Vibrio_alginolyticus	溶藻弧菌	bacteria	有引起弧菌胃肠炎、败血症、伤口感染、中耳炎的报道。	undetermined	none	none	none	none	none	none
Vibrio_metschnikovii	麦氏弧菌	bacteria	有引起败血症、胃肠炎的报道。	undetermined	none	none	none	none	none	none
Vibrio_cincinnatiensis	辛辛那提弧菌	bacteria	有引起败血症的报道。	undetermined	none	none	none	none	none	none
Vibrio_carchariae	鲨鱼弧菌	bacteria	可引起伤口感染。	undetermined	none	none	none	none	none	none
Achromobacter_xylosoxidans	氧化木糖无色杆菌	bacteria	机会致病菌，是免疫缺陷患者的常见致病病原体，常引起院内感染，可引起菌血症、肺炎、咽炎、腹膜炎和尿路感染等。	Gómez-Cerezo J, Suárez I, Ríos JJ, et al. Achromobacter xylosoxidans bacteremia: a 10-year analysis of 54 cases. Eur J Clin Microbiol Infect Dis. 2003 Jun; 22(6): 360-3.	none	none	none	none	none	none
Achromobacter_piechaudii	皮氏无色杆菌	bacteria	undetermined	undetermined	none	none	none	none	none	none
Alcaligenes_faecalis	粪产碱杆菌	bacteria	机会致病菌，是肠道的正常菌群，感染与雾化器、呼吸机等相关，是院内感染的病原菌之一。	undetermined	none	none	none	none	none	none
Chryseobacterium_gleum	粘金黄杆菌	bacteria	可引起尿路感染、脓性肾病、呼吸道感染及肺炎等。	Arouna O, Deluca F, Camara M. Chryseobacterium gleum in a man with prostatectomy in Senegal: a case report and review of the literature. J Med Case Rep. 2017 Apr 24;11(1):118.	none	none	none	none	none	none
Chryseobacterium_indologenes	产吲哚金黄杆菌	bacteria	偶尔可引起有免疫低下者的菌血症，并且与留置设施有关的院内感染相关。	Hsueh PR, Teng LJ, Ho SW, et al. Clinical and Microbiological Characteristics of Flavobacterium indologenes Infections Associated with Indwelling Devices. J Clin Microbiol. 1996 Aug; 34(8): 1908-13.	none	none	none	none	none	none
Chryseobacterium_haifense	海法金黄杆菌	bacteria	undetermined	undetermined	none	none	none	none	none	none
Chryseobacterium_balustinum	大比目鱼金黄杆菌	bacteria	undetermined	undetermined	none	none	none	none	none	none
Chryseobacterium_meningosepticum	脑膜败血金黄杆菌	bacteria	对早产儿有高致病性，可致新生儿脑炎、也可引起免疫力低下的成人肺炎和败血症。	undetermined	none	none	none	none	none	none
Chryseobacterium_scophthalmun	大菱鲆金黄杆菌	bacteria	undetermined	undetermined	none	none	none	none	none	none
Chryseobacterium_indotheticum	吲哚金黄杆菌	bacteria	undetermined	undetermined	none	none	none	none	none	none
Moraxella_catarrhalis	卡他莫拉菌	bacteria	定殖于呼吸道，尤其常见于儿童和老年人呼吸道，可导致中耳炎、鼻窦炎、支气管炎、肺炎、菌血症和关节感染等。	Abbott M, Nageswaran A. Bacteremia and septic arthritis caused by Moraxella catarrhalis. Clin Infect Dis. 1992 Jan; 14(1): 368-9.	none	none	none	none	none	none
Moraxella_osloensis	奥斯陆莫拉菌	bacteria	是呼吸道正常菌群，一般不引起疾病，偶可引起菌血症、骨髓炎等。	Sugarman B, Clarridge J. Osteomyelitis caused by Moraxella osloensis. J Clin Microbiol. 1982 Jun; 15(6): 1148-9.	none	none	none	none	none	none
Moraxella_lacunata	腔隙莫拉菌	bacteria	undetermined	undetermined	none	none	none	none	none	none
Moraxella_nonliquefaciens	非液化莫拉菌	bacteria	是呼吸道正常菌群，可引起內眼炎和化脓性关节炎。	undetermined	none	none	none	none	none	none
Moraxella_atlantae	亚特兰大莫拉菌	bacteria	有引起菌血症的报道。	undetermined	none	none	none	none	none	none
Moraxella_canis	狗莫拉菌	bacteria	undetermined	undetermined	none	none	none	none	none	none
Moraxella_lincolnii	林肯莫拉菌	bacteria	呼吸道正常菌群	undetermined	none	none	none	none	none	none
Moraxella_bovis	牛莫拉菌	bacteria	none	undetermined	none	none	none	none	none	none
Moraxella_caprae	山羊莫拉菌	bacteria	none 	undetermined	none	none	none	none	none	none
Legionella_drancourtii	德氏军团菌	bacteria	可导致肺部感染。	La Scola B, Birtles RJ, Greub G, et al. Legionella drancourtii sp. nov., a strictly intracellular amoebal pathogen. Int J Syst Evol Microbiol. 2004 May; 54(Pt 3): 699-703.	none	none	none	none	none	none
Legionella_pneumophila	嗜肺军团菌	bacteria	主要引起社区获得性肺炎。	Cilloniz C, Torres A. Typical Presentation of Legionella pneumophila Community-Acquired Pneumonia. Rev Port Pneumol (2006). 2017 May - Jun; 23(3): 115-116.	none	none	none	none	none	none
Legionella_micdadei	米克戴德军团菌	bacteria	undetermined	undetermined	none	none	none	none	none	none
Legionella_longbeachae	长滩军团菌	bacteria	undetermined	undetermined	none	none	none	none	none	none
Legionella_dumoffii	杜莫夫军团菌	bacteria	undetermined	undetermined	none	none	none	none	none	none
Legionella_bozemanii	波兹曼军团菌	bacteria	undetermined	undetermined	none	none	none	none	none	none
Bordetella_pertussis	百日咳鲍特菌	bacteria	是百日咳的致病菌。	Nieves DJ, Heininger U. Bordetella pertussis. Microbiol Spectr. 2016 Jun; 4(3).	none	none	none	none	none	none
Bordetella_parapertussis	副百日咳鲍特菌	bacteria	可引起百日咳和急性呼吸道感染，但症状较轻。	Heininger U, Stehr K, Schmitt-Grohé S, et al. Clinical characteristics of illness caused by Bordetella parapertussis compared with illness caused by Bordetella pertussis. Pediatr Infect Dis J. 1994 Apr; 13(4): 306-9.	none	none	none	none	none	none
Bordetella_branchiseptica	支气管鲍特菌	bacteria	undetermined	undetermined	none	none	none	none	none	none
Bordetella_avium	鸟鲍特菌	bacteria	主要引起动物疾病，也可引起人类呼吸系统感染。	undetermined	none	none	none	none	none	none
Bordetella_holmesil	霍氏鲍特菌	bacteria	可引起败血症、心内膜炎和呼吸系统疾病等，尤其是在免疫缺陷患者中。	undetermined	none	none	none	none	none	none
Pasteurella_multocida	多杀巴斯德菌	bacteria	可导致人畜共患病，人在被感染的动物咬伤后表现为皮肤或软组织感染，也可以感染其他部位，如呼吸道，引起局部淋巴结肿大；严重者可导致败血症、骨膜炎、心内膜炎、脑膜炎等。	undetermined	none	none	none	none	none	none
Pasteurella_pneumotzopica	嗜肺巴斯德菌	bacteria	undetermined	undetermined	none	none	none	none	none	none
Pasteurella_haemolytica	溶血巴斯德菌	bacteria	undetermined	undetermined	none	none	none	none	none	none
Pasteurella_aerogenes	产气巴斯德菌	bacteria	undetermined	undetermined	none	none	none	none	none	none
Pasteurella_qallinarum	鸡巴斯德菌	bacteria	undetermined	undetermined	none	none	none	none	none	none
Pasteurella_canis	犬巴斯德菌	bacteria	undetermined	undetermined	none	none	none	none	none	none
Pasteurella_bettyae	贝氏巴斯德菌	bacteria	undetermined	undetermined	none	none	none	none	none	none
Pasteurella_dagmatis	达可马巴斯德菌	bacteria	可导致人畜共患病，人在被感染的动物咬伤后表现为皮肤或软组织感染，严重者可引起菌血症、心内膜炎、腹膜炎等。	undetermined	none	none	none	none	none	none
Pasteurella_tomatts	明立巴斯德菌	bacteria	undetermined	undetermined	none	none	none	none	none	none
Listeria_monocytogenes	产单核细胞李斯特菌	bacteria	可引起传染性单核细胞增多症，也可引起脑膜炎、菌血症、心内膜炎等。	undetermined	none	none	none	none	none	none
Listeria_ivanovii	伊氏李斯特菌	bacteria	undetermined	undetermined	none	none	none	none	none	none
Listeria_grayi	格氏李斯特菌	bacteria	none	none	none	none	none	none	none	none
Gardnerella_vaginalis	阴道加德纳菌	bacteria	可引起细菌性阴道病。	undetermined	none	none	none	none	none	none
Fusobacterium_nucleatum	具核梭杆菌	bacteria	与多种口腔疾病有关，该菌定殖在子宫和阴道中可能会引起胎儿早产，还可能与大肠癌有关。	undetermined	none	none	none	none	none	none
Fusobacterium_necrophorum	坏死梭杆菌	bacteria	undetermined	undetermined	none	none	none	none	none	none
Fusobacterium_gonidiaformans	微生子梭杆菌	bacteria	undetermined	undetermined	none	none	none	none	none	none
Fusobacterium_mortiferum	死亡梭杆菌	bacteria	undetermined	undetermined	none	none	none	none	none	none
Fusobacterium_naviforme	舟形梭杆菌	bacteria	undetermined	undetermined	none	none	none	none	none	none
